Market,Code,Company Name,Place of Incorporation of Foreign Companies,Industry,Symbol,Date of Listing,Chairman,General Manager,Spokesman,Title of Spokesman,Fiscal Year_end,Accounting Firm,CPA (Chartered Public Accountant)1,CPA (Chartered Public Accountant)2,Address,Telephone,Fax,Email Address,Web Address,Investor Relations Contact Person,Title of IR Contact Person,Telephone of IR Contact Person,Email Address of IR Contact Person
Listed Company,5538,"TONG MING ENTERPRISE CO., LTD",Cayman Islands,Iron and Steel,TONG MING,2013/12/16,Tsai Ching-Tung,TSAI HUNG-CHUAN,KO WEN LING,WINLINK FASTENERS GENERAL MANAGER,DEC 31,Deloitte & Touche,PENG YI HUA,HSIEH MING-CHUNG,"15F, No. 140,Chung Shen N. Rd., Kang Shan Dist., Kaohsiung City, Taiwan R.O.C",07-6235538,07-6218099,tongming@tonggroup.com.tw,www.tonggroup.com.tw,KO WEN LING,general manager,0955365538,ir@tonggroup.com.tw
Listed Company,5546,YONGGU GROUP INC.,Cayman Islands,Building Material and Construction,YGI,2020/05/20,"Chien, Kuo-Chuan","Lin, Huang-Jyh","Chien, Kuo-Chuan",President,DEC 31,Ernst & Young,Muriel Yu,Hans Chen,"5F., No. 99-1, Fuxing N. Rd., Songshan Dist., Taipei City 105 Taiwan (R.O.C.)",(02)27157546,(02)27157501,yonggu@yg1999.com,http://www.yg1999.com/tw/,"Cheng,Ping-Chen",Manager,(02)27157546,yonggu5546@gmail.com
Listed Company,5607,"Farglory F T Z Investment Holding Co.,Ltd.",－,Shipping and Transportation,Farglory FTZ,2004/12/02,"YEH , CHUN-YAO","LAI , CHIA-LING",Joseph Hsu,Manager,DEC 31,"PricewaterhouseCoopers,Taiwan","CHIH,PINGCHIUN","LIAO,FU-MING","101 Hangsiang Road Dayuan Taoyuan,Taiwan R.O.C.",03-3992888,03-3938505,joseph.hsu@ftz.com.tw,http://www.ftz.com.tw,Joseph Hsu,Manager,033992888-15300,joseph.hsu@ftz.com.tw
Listed Company,5608,"SHIH WEI NAVIGATION CO., LTD",－,Shipping and Transportation,S. W.,2003/08/25,"Lan, Shin-Chyi","Lan, Shin-Chyi",Alan Hsu,CFO,DEC 31,KPMG,"CHI, SHIH-CHIN","TSENG, KUO-YANG","16F. NO. 167, FUSING N. RD., TAIPEI, TAIWAN, R.O.C.",02-87121888,02-87127598,accounting@swnav.com.tw,www.swnav.com.tw,F.Y. Lin,Senior Manager,02-87121888,investor@swnav.com.tw
Listed Company,5706,"Phoenix Tours International, Inc.",－,Tourism and Hospitality,PHX TOUR,2011/10/21,William Chang,Benjamin Pien,Benjamin Pien,General Manager,DEC 31,Diwan & Company,ArnicoTseng,Tina Tseng,"4F, NO.25, CHANG-AN E. RD. SEC.1 TAIPEI , TAIWAN",25370000,25232039,annie.chou@phoenix.com.tw,travel.com.tw,Benjamin Pien,GM,02-25378123,benjamin.pien@phoenix.com.tw
Listed Company,5871,Chailease Holding Company Limited,Cayman Islands,Other,Chailease,2011/12/13,Chen Fong-Long,Chen Fong-Long,Liao Ying-Chih,Senior Executive Vice President,DEC 31,KPMG,"Shu Min, Hsu",Tsao-Jen Wu,"No. 362 Rueiguang Rd., Neihu Dist., Taipei, Taiwan",02-87526388,02-87526280,PRD@chailease.com.tw,http://www.chaileaseholding.com/,Mai-Fang Fan,Executive Vice President,02-87526388 ext72529,ir@chailease.com.tw
Listed Company,5876,"THE SHANGHAI COMMERCIAL & SAVINGS BANK, LTD.",－,Financial and Insurance,SCSB,2018/10/19,"Stephen, Ching-Yen Lee",Ching-Yi Kuo,Shao-Yu Lu,Executive Vice President,DEC 31,PricewaterhouseCoopers Taiwan,Puo-Ju Kuo,Wei-Tai Wu,"No. 2, Sec. 1, Minquan E. Rd., TAIPEI, TAIWAN, R.O.C.",02-25817111,02-66082668,service@scsb.com.tw,www.scsb.com.tw,Sherry Hsieh,Assistant Vice President,02-25817111#59255,ir@scsb.com.tw
Listed Company,5880,"Taiwan Cooperative Financial Holding Co.,Ltd.",－,Financial and Insurance,TCFHC,2011/12/01,"Lin, Yen-Mao","Su, Tso-Cheng","Chen, Yu-Wan",Excutive Vice President,DEC 31,Deloitte&Touche,"Chen, Yin-Chou","Lin, Wang-Sheng","17F,19F, No.225, Sec. 2, Chang'an E. Rd., Songshan Dist., Taipei City,Taiwan,R.O.C",(02)2173-8888,(02)2731-3677,spokesman@tcfhc.com.tw,www.tcfhc.com.tw,"Tsai,Ya-Fen",A.V.P& Senior Manager,(02)21738888#5106,YAFEN@tcfhc.com.tw
Listed Company,5906,"TAINAN ENTERPRISE (CAYMAN) CO., LIMITED",Cayman Islands,Trading and Consumers' Goods Industry,TAINAN CAYMAN,2011/10/24,Yang Ching-Hon,Chen Hui-Shu,kevin huang,Accounting manager,DEC 31,Deloitte & Touche,"WU, CHANG-CHUN","YANG, CHAO-CHIN","1F., No.297, Sec.2, Dongmen. Rd.,East Dist., Tainan City701, Taiwan( R.O.C) Tainan, Taiwan, R.O.C.",(06)2006277,(06)2004211,carol.lian@mail.tainancayman.com,www.tainancayman.com,carol lian,Financial Assistant manager,06-2006277,carol.lian@mail.tainancayman.com
Listed Company,5907,Grand Ocean Retail Group Limited,Cayman Islands,Trading and Consumers' Goods Industry,GORG,2012/06/06,KUO JEN HAO,NG QING HAI,ZHANG JIN GUO,Vice President,DEC 31,KPMG,Chang Shu Ying,Pan Chun Ming,"14F., No.237, Sec. 2, Fuxing S. Rd., Da’an Dist. Taipei City 106, Taiwan",(02)2707-8833,(02)2706-5229,jyxu27@gmail.com,http://www.grandocean.com.tw/,SHIU JIN YI,Accounting Manager,(02)2707-8833 #106,jyxu27@gmail.com
Listed Company,6005,CAPITAL SECURITIES CORP.,－,Financial and Insurance,CSC,2005/11/21,"Chou, Hsiu-Chen","Lee,Wen-Chu",Eric Chou,Executive Vice President,DEC 31,KPMG Certified Public Accountants,"Wu, Cheng-Yen","CHEN, YI-JEN","14F.-3, No. 156, Sec. 3, Minsheng E. Rd., Taipei City 10596, Taiwan, R.O.C",8789-8888,8789-2940,spokesman@capital.com.tw,WWW.CAPITAL.COM.TW,Eric Chou,Executive Vice President,8789-8888,spokesman@capital.com.tw
Listed Company,6024,Capital Futures Corp.,－,Financial and Insurance,CFC,2017/10/16,"CHIA, CHUNG-TAO",MAO CHEN HUA,MAO CHEN HUA,President,DEC 31,KPMG Certified Public Accountants,CHENG-YEN WU,YI-JEN CHEN,"B1., No. 97, Sec. 2, Dunhua S. Rord. Da'an Dist., Taipei City 10682, Taiwan , R.O.C.",2700-2888,2705-9777,edward.mao@futures.capital.com.tw,https://www.capitalfutures.com.tw/zh-tw,MAO CHEN HUA,President,2700-2888,edward.mao@futures.capital.com.tw
Listed Company,6108,APCB INC.,－,Electronic Parts/Components,APCB INC.,2008/12/30,YUEH-HSIA TSAO,CHIN-TSAI LAI,CHENG-HUNG TSAI,Finance Manager,DEC 31,KPMG Certified Public Accountants,JHAO MIN-RU,WU CHIA-HAN,"No. 6, Lane 84, Chun-Ying St., Shu-Lin District, New Taipei City (23863), Taiwan",(02)2683-2626,(02)2683-8440,em@apcb.com.tw,www.apcb.com.tw,CHENG-HUNG TSAI,Finance Manager,(02)26832626-1300,em@apcb.com.tw
Listed Company,6112,Metaage Corporation,－,Information Service,Metaage,2003/08/04,Joshua Tseng,Jason Shih,Mavis Lin,CFO,DEC 31,KPMG Certified Public Accountants,Fu Hung-Wen,Chuang Chun-Wei,"10F,NO.516,Sec.1,Neihu Rd.,Taipei 114,TAIWAN, R.O.C. Taipei ,TAIWAN, R.O.C.",(02)87978260,(02)87978261,public@metaage.com.tw,https://www.metaage.com.tw/,Mavis Lin,CFO,87978260,public@metaage.com.tw
Listed Company,6115,"I-SHENG ELECTRIC WIRE & CABLE CO., LTD.",－,Electronic Parts/Components,I-SHENG,2004/07/19,HUANG TZI-CHEN,FANG I-HSIUNG,Kao Shih Jung,senior manager,DEC 31,"DIWAN,ERNST&YOUNG",Muriel Yu,Jamie Lu,"50, Tin Hwu Road. Ta Gann Village, Gwal San Hsian Tao Yuang Hsien, Taiwan, R.O.C.",03-3282391,03-3284228,dillen@isheng.com.tw,www.isheng.com.tw,Kao Shih Jung,senior manager,0332823921,dillen@isheng.com.tw
Listed Company,6116,Hannstar Display Corp.,－,Optoelectronic,Hannstar,2004/09/06,Yu-Chi Chiao,Yu-Chi Chiao,Po-Hsing Chiu,Vice President,DEC 31,PWC Accounting Firm,"Liao, Fu-Ming","Lin, Yung-Chih","4F., No. 15, Ln. 168, Xingshan Rd., Neihu Dist., Taipei City 114762, Taiwan, R.O.C.",02-55550077,02-55525263,ir@hannstar.com,www.hannstar.com,Justin Chien,Director,02-55550077,ir@hannstar.com
Listed Company,6117,IN WIN DEVELOPMENT INC.,－,Computer and Peripheral Equipment,IN WIN,2003/08/25,"LAI , WEN-HSIEN","HUANG , KUO-HUI","KANG , PO-HSING",Special Assistant,DEC 31,ERNST & YOUNG,Cheng-Tao Chang,Chih-Huei Yang,"NO 57 LANE 350 NANSHANG ROAD GUEISHAN HSIANG,TAOYUAN TAIWAN",(03)3229898,(03)3527808,peter.kan@in-win.com.tw,https://www.in-win.com/,"KANG , PO-HSING",Special Assistant,(03)3229898#1226,peter.kan@in-win.com.tw
Listed Company,6120,DARWIN PRECISIONS CORPORATION,－,Optoelectronic,DARWIN,2006/09/13,Kuo-Hsin (Michael) Tsai,Sheng-Kai (SK) Huang,Cathay Ching,CFO,DEC 31,KPMG,Yen-Hui Chen,Cheng-Hsueh Chen,"No.20-1, Guangfu N. Rd., Hukou Township, Hsinchu County, Taiwan, R.O.C.",03-5668000,03-5668088,ir@darwinprecisions.com,www.darwinprecisions.com,Cathay Ching,CFO,03-5668000,ir@darwinprecisions.com
Listed Company,6128,"GENERAL PLASTIC INDUSTRIAL CO., LTD.",－,Computer and Peripheral Equipment,GPI,2003/06/16,Wang Kuo-Ying,Wang Jui-Chi,Huang Huai-Te,Executive Vice President,DEC 31,ERNST&YOUNG,Huang Yu-Ting,TU CHIN - YUAN,"50. Tzu-Chiang Rd., Wu-Chi Town, Taichung City, Taiwan",04-26393103,04-26396204,gpico@gpi.com.tw,www.gpi.com.tw,Huang Yu-Cheng,Representative,04-26393103,csr@gpi.com.tw
Listed Company,6133,GOLDEN BRIDGE ELECTECH INC.,－,Electronic Parts/Components,GBE,2003/08/15,"LIN,MAI -SHENG","CHIANG, DER-SHIANG","CHIU,CHIEN-MING",CFO& Spokesman,DEC 31,Klynveld Peat Marwick Goerdeler,"Yu,Vincent",Lisa Luo,"3F., NO.6, LANE 270, SEC. 3, BEISHEN RD., SHENKENG DIST.222, NEW TAIPEI CITY, TAIPEI TAIWAN, R.O.C.",(02)2662-7300,(02)2662-0642,james.chiu@gbe.com.tw,www.gbe.com.tw,"CHIU,CHIEN-MING",CFO,(02)26627300,james.chiu@gbe.com.tw
Listed Company,6136,"FULLERTON TECHNOLOGY CO., LTD.",－,Communications and Internet,FTC,2003/08/25,Richard Wu,Scott Cheng,Scott Cheng,General Manager,DEC 31,BDO Taiwan Union & Co. Certified Public Ac,KE-YI LIU,KUN-HIS HSU,"5F., No.6-3, Baoqiang Rd., Xindian Dist., New Taipei City 23144, Taiwan New Taipei City , Taiwan, R.O.C",(02)8912-4300,02-89124301,ir@fullerton.com.tw,www.fullerton.com.tw,Scott Cheng,General Manager,(02)8912-4300,ir@fullerton.com.tw
Listed Company,6139,"L & K ENGINEERING CO., LTD.",－,Other Electronic,L & K,2003/08/25,Kenneth Yao,Kelvin Chiang,Kelvin Chiang,General Manager,DEC 31,"L.H.CHEN & CO.,CPAs.",Tseng Kuo Huang,Jung Hua Chen,"14F., No.175, Sec. 1, Datong Rd., Xizhi Dist., New Taipei City, Taiwan, R.O.C.",26919099,26907168,FD1300@lkeng.com.tw,www.lkeng.com.tw,Shu Chen Chen,Financial & Accounting Division,02-26919099,FD1300@lkeng.com.tw
Listed Company,6141,"PLOTECH CO.,LTD",－,Electronic Parts/Components,PLOTECH,2003/10/22,Lee Chi Liang,Hung Tsung I,Chang Mei Ling,General Manager Assistant,DEC 31,"Pricewaterhouse Coopers, Taiwan",Lin Chia-Hung,Lin Se-Kai,"12F NO. 112 SEC. 2, KEE LUNG RD  TAIPEI., TAIWAN",(03)354-3961,(03)354-3963,finances@plotech.com,https://www.plotech.com,Chang Mei Ling,General Manager Assistant,(02)2737-5351,may@plotech.com
Listed Company,6142,"CAMEO COMMUNICATIONS,INC.",－,Communications and Internet,CAMEO,2003/08/04,Tsung-Che Wu,Allen Cheng,Allen Cheng,General Manager,DEC 31,KPMG Certified Public Accountants,Serena Hsin,Yvette Chien,"2F., No.275, Xinhu 3rd Rd. Neihu Dist.,Taipei City 114, Taiwan",02-773-63000,02-2796-0610,ir@cameo.com.tw,www.cameo.com.tw,Allen Cheng,General Manager,02-773-63000,Investors@cameo.com.tw
Listed Company,6152,PRIME ELECTRONICS AND SATELLITICS INCORPORAT,－,Communications and Internet,PRIME,2009/12/08,"HSU, CHING-HUI","HSIEH, HENG/JUNG","HSIEH, HENG/JUNG",General Manager,DEC 31,"Ernst & Young, Taiwan",Lo Hsiao Chin,Chen Kuo Shuai,"3, Tze-Chiang 1st Road, Chung-Li Industrial Zone, Chung-Li City, Chung-Li Dist., Taoyuan City, Taiwan.",03-4615000,03-4614000,lilian@pesi.com.tw,www.pesi.com.tw,Lilian Huang,IR Manager of Finance Department,03-461-5000 # 305,lilian@pesi.com.tw
Listed Company,6153,"Career Technology (MFG.) Co., Ltd.",－,Electronic Parts/Components,Career Tech.,2008/01/21,Lai Wei Chen,Chang Chia Hao,Fu Hsien Chi,CFO,DEC 31,Deloitte & Touche,Peng Shih Hsuan,Chen Ming Hui,"No.248, Bo-ai St., Shulin Dist., New Taipei City 238, Taiwan (R.O.C.) Taipei, Taiwan",02-86868868,02-86866998,finance@careergroups.com,www.careergroups.com,Fu Hsien Chi,CFO,02-86868868,finance@careergroups.com
Listed Company,6155,KING CORE ELECTRONICS INC.,－,Electronic Parts/Components,KC,2006/08/18,"Yang, Cheng-Li","Tsai, Yuh-Chiang","Tsai, Yuh-Chiang",President,DEC 31,ERNST & YOUNG,"LIN, CHENG-WEI","CHEN, KUO-SHUAI","No.269, Nanfong Rd. , Pingjhen District , Taoyuan City 324 , R. O. C",03-4698855,03-4690127,kc@mail.kingcore.com.tw,www.kingcore.com.tw,"Tsai, Yuh-Chiang",President,03-4698855,kc@mail.kingcore.com.tw
Listed Company,6164,LEDTECH ELECTRONICS CORP.,－,Optoelectronic,LEDTECH,2008/10/21,Liu Shou-Hsiung,Liu Shou-Hsiung,Alvin Ni,Vice President,DEC 31,ERNST & YOUNG,"LO,HSIAO-CHIN","MA,CHUN-TING","5F.,NO.542-5,ZHONGZHENG RD.,XINDIAN DIST., NEW TAIPEI CITY , TAIWAN, R.O.C.",(02)22186891,(02)22194336,alvin_ni@ledtech.com.tw,www.ledtech.com,Alvin Ni,Vice President,(02)22186891-1100,alvin_ni@ledtech.com.tw
Listed Company,6165,Lang Inc.,－,Digital and Cloud Services,Lang,2003/08/04,"WANG,YI-HENG","WANG,YI-HENG","WANG,YI-HENG",President,DEC 31,KPMG Taiwan,MENG-CHUN CHI,SHU-CHIH YANG,"4F., No. 506, Sec. 5, Zhongshan N. Rd., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)",(02)2731-0868,(02)2731-1508,investor@langinc.com.tw,www.langinc.com.tw,"WANG,YI-HENG",President,(02)2731-0868,investor@langinc.com.tw
Listed Company,6166,ADLINK TECHNOLOGY INC.,－,Computer and Peripheral Equipment,ADLINK,2004/11/08,Jim Liu,Stephen Huang,Iris Chen,Director,DEC 31,Deloitte & Touche,Chien-Liang Liu,Yi-Wen Wang,"No. 66, Huaya 1st Rd., Guishan Dist., Taoyuan City 333411, Taiwan(R.O.C.)",(03)216-5088,(03)328-5717,investor@adlinktech.com,www.adlinktech.com,Iris Chen,Director,(03)216-5088,iris.chen@adlinktech.com
Listed Company,6168,HARVATEK CORPORATION,－,Optoelectronic,HARVATEK CORPOR,2003/08/25,Bily Wang,Bily Wang,Eva Su,Finance Dep.Vice Director,DEC 31,Deloitte Touche Tohmatsu Limited,Fang Su Li,Chang Ya Yun,"No.18,Lane 522,Section 5,Chung Hwa Road, Hsin Chu, Taiwan R.O.C. Hsin Chu, Taiwan R.O.C.",03-5399889,03-5399237,evasu@harvatek.com.tw,www.harvatek.com,Eva Su,Finance Dep.Vice Director,03-5399889#1200,evasu@harvatek.com.tw
Listed Company,6176,RADIANT OPTO-ELECTRONICS CORP.,－,Optoelectronic,ROEC,2007/05/15,Yu-Chao Wang,Yu-Chao Wang,Elaine Teng,Manager,DEC 31,KPMG,"Cheng Lung, Hsu","Yung Hsiang, Chen","No. 1, Central 6th Rd., Qianzhen Dist. Kaohsiung Taiwan R.O.C.",07-8216151,07-8154669,roec@radiant.com.tw,www.radiant.com.tw,Elaine Teng,Manager,07-8216151,ir@radiant.com.tw
Listed Company,6177,"DA-LI DEVELOPMENT CO., LTD.",－,Building Material and Construction,"DA-LI CO.,LTD.",2013/08/01,HSIEH CHI CHANG,"LI,YAO-FANG",LIAO CHENG HSIUNG,Vice President of Legal & PR office,DEC 31,BDO TAIWAN UNION & CO.,"HSU, KUN-HSI","LI, YING-YING","10F., No.96, Sec. 1, Jianguo N. Rd., Zhongshan Dist., Taipei City 10489, Taiwan (R.O.C.)",02-25061966,02-25061989,service.home@da-li.com.tw,http://www.da-li.com.tw,LIAO CHENG HSIUNG,Vice President of Legal & PR office,02-25061966,CH.liao@da-li.com.tw
Listed Company,6183,TRADE-VAN INFORMATION SERVICES CO.,－,Information Service,TRADE-VAN,2011/12/01,"Chang, Lu-Sheng","Kao, Kuo-Fong","Chen, Hsueh-Tau",Vice President,DEC 31,Ernst & Young,"Chang, Zheng-Dao","Lin, Shr-Huan","6FL., No.19-13, Sanchung Road Taipei, Taiwan,R.O.C.",02-26551188,02-26550598,marketing@tradevan.com.tw,http://www.trade-van.com/,"Chen, Hsueh-Tau",Vice President,02-26551188,grace.chen@tradevan.com.tw
Listed Company,6184,Dafeng TV Ltd.,－,Other,Dafeng TV Ltd.,2005/02/15,Eric.Mc.Chang,Daniel.Liu,Lydia Liu,Vice President of the Legal Affairs Office,DEC 31,PricewaterhouseCoopers,Mavis Chang,Jen-Chieh Wu,"5F., No.207, Sec. 2, Zhonghua Rd., Tucheng Dist., New Taipei City,Taiwan",(02)8253-8888,(02)2266-1234,lydialiu@dmg.tv,http://www.dafeng.tv,Lydia Liu,Vice President of the Legal Affairs Office,(02)8253-8888-4200,lydialiu@dmg.tv
Listed Company,6189,"Promate Electronic Co.,Ltd.",－,Electronic Products Distribution,Promate,2004/05/24,CHEN CHENG-FONG,DU HUAI-CI,TU HUAI-CHI,C.E.O.,DEC 31,Deloitte & Touche,GUO NAI HUA,Jui Chuan Chih,"4F NO.32 SEC.1 HUAN SHAN RD.,NEI HU TAIPEI 114 TAIWAN R.O.C",02-26590303,02-26590005,jasmine_wu@promate.com.tw,https://www.promate.com.tw/,WU LISHA,financial manager,26590303#1371,jasmine_wu@promate.com.tw
Listed Company,6191,GLOBAL BRANDS MANUFACTURE LTD.,－,Electronic Parts/Components,GBM,2007/10/19,"Chiao,Yu Heng","Tao, Cheng-Kuo/Yang, Chien Hui","Yang, Chien-Hui",President,DEC 31,Deloitte & Touche,"WU, KER-CHANG","CHANG, CHIH-YI","4F., No.48-3, Minquan Rd., Xindian Dist., New Taipei City 231, Taiwan R.O.C.",(02)2910-8800,(02)2912-1616,webmaster@gbmgroup.com,www.gbm.com.tw,"Weng, Chia-Yu",Finance Div. Director,02-29108800,webmaster@gbmgroup.com
Listed Company,6192,"LUMAX INTERNATIONAL CORP., LTD.",－,Other Electronic,LUMAX,2004/09/27,C.K. Lin,Eric Chou,Eric Chou,PRESIDENT,DEC 31,Deloitte & Touche,"Liu, Chien-Liang",April J. Chang,"12F,No3-1,Park St.,Nangang District, Taipei 115, Taiwan(NanKang Software Park) Taipei, Taiwan, R.O.C.",(02)27883656,(02)26517760,nina_kao@elumax.com,http://www.elumax.com,Vincent Ma,Senior Manager in General Manager Office and Acting Spokesperson,(02)27883656#854,vincent_ma@elumax.com
Listed Company,6196,MARKETECH INTERNATIONAL CORP.,－,Other Electronic,MIC,2004/05/24,Margaret Kao,Scott Lin,Scott Lin,President,DEC 31,Price WaterHouse Coopers,"Hsieh,Wei-Li","Wang,Sung-Tse","6F., No.3-2,Yuancyu St., Nangang District Taipei, Taiwan, R.O.C.",(02)2655-8899,(02)2655-8989,mic@micb2b.com,https://www.micb2b.com,Blythe Wang,Director,(02)2655-8899 #10078,mic@micb2b.com
Listed Company,6197,JPC connectivity Inc.,－,Electronic Parts/Components,JPC,2004/11/08,"CHANG,SHU-MEI","CHANG,WEI-SAN","YI,WEI-LING",Special Assistant to Chairman and HR Manager,DEC 31,PRICE WATER HOUSE COOPERS,"WU, JEN-CHIEH","LIN,YA-HUI","9F No.176, Jian-Yi Rd., 235 Chung Ho Dist , New Taipei City , Taiwan R.O.C",02-82271658,02-82271636,weiling_yi@jpcco.com,www.jpcco.com,"YI,WEI-LING",Special Assistant to the Chairman and HR Manager,02-82271658,weiling_yi@jpcco.com
Listed Company,6201,"YA HORNG ELECTRONIC CO.,LTD",－,Other Electronic,YAHORNG,2004/09/27,cihuang huang,Jerry Hsu,Jerry Hsu,PRESIDENT,DEC 31,Ernst & Young,"Hu, Tzu-Ren","YAO,SHIH-CHIEH","No.35, Shalun, Anding Dist Tainan City , Taiwan (R.O.C.)",06-5932201,06-5930030,yahorng@yahorng.com,WWW.YAHORNG.COM,Joe Chao,Finance Manager,06-5932201,yahorng@yahorng.com
Listed Company,6202,HOLTEK SEMICONDUCTOR INCORPORATION,－,Semiconductor,HOLTEK,2004/09/27,WU CHI YUNG,TSAI JUNG TSUNG,PAN CHIEN CHOU,Vice President,DEC 31,KPMG Certified Public Accountants,CHENG AN CHIH,LU CHIEN HUI,"NO.3, CREATION RD. II, HSINCHU SCIENCE PARK HSINCHU, TAIWAN",(03)5631999,(03)5631175,ir@holtek.com.tw,www.holtek.com.tw,Bonnie Wang,Investor Relations & Media Contacts,(03)5631999ext1619,ir@holtek.com.tw
Listed Company,6205,"CHANT SINCERE CO., LTD.",－,Electronic Parts/Components,COXOC,2008/01/21,Wu Lien-Hsi,Wu Lien-Hsi,winning Hsu,Administration Department Director,DEC 31,PRICEWATERHOUSECOOPERS,"Li, Yan-Na","Cheng, Ya-Huei","6F,No.194,Sec.3,Ta Tung Road,Hsi Chih New Taipei City, Taiwan",02-86471251,02-86471842,service@coxoc.com.tw,http://www.coxoc.com.tw,winning Hsu,Administration Department Director,02-86471251,winning_hsu@coxoc.com.tw
Listed Company,6206,"FLYTECH TECHNOLOGY CO.,LTD.",－,Computer and Peripheral Equipment,FLYTECH,2004/08/03,THOMAS LAM,Jerry Shyu,Jerry Shyu,President,DEC 31,KPMG Certified Public Accountants,"Leona, Hsu",Sonia Chang,"No. 168, Sing-ai Rd., Neihu District, Taipei City , Taiwan",87914988,27914666,publicrelationship@flytech.com,http://www.flytech.com,Louis Hsu,Director of Investment Department,87914988,publicrelationship@flytech.com
Listed Company,6209,"KINKO OPTICAL CO.,LTD.",－,Optoelectronic,KINKO,2004/11/08,"CHEN, CHING-CHI","CHEN, YI-FANG","Lin,Ping-Lin",Executive Assistant To President,DEC 31,Deloitte & Touche,"Wu, Lie-Dong","Liu, Li-Wei","NO 91,LANE 562, SECTION 9, XINGSHANG ROAD WUGI DIST, TAICHUNG CITY, TAIWAN , ROC",04-26595985,04-26595088,linpinglin@kinko-optical.com,www.kinko-optical.com,"Lin,Ping-Lin",Executive Assistant To President,04-26595985,linpinglin@kinko-optical.com
Listed Company,6213,ITEQ CORPORATION,－,Electronic Parts/Components,ITEQ,2008/01/21,Dennis Chen,Audrey Tsai,Audrey Tsai,GM,DEC 31,KPMG,Chia-Chien Tang,Ya-Ling Chen,"No.17,Daluge Rd., Xinpu Township, Hsinchu County 305, Taiwan R.O.C. Hsinchu,Taiwan, R.O.C",03-5887888,03-5892788,ir@iteqcorp.com,www.iteqcorp.com,Alex Chou,Senior Director,03-5887888,ir@iteqcorp.com
Listed Company,6214,SYSTEX CORPORATION,－,Information Service,SYSTEX,2010/12/30,"Lin,Lung-Fen","Lin,Lung-Fen","Chung,Larry",CFO,DEC 31,Deloitte Touche,"Shue, Shiow-Ming","Huang,Hui-Min","318,Ruiguang Rd., Neihu District, Taipei,Taiwan,R.O.C",(02)77201888,(02)77207666,webmaster@systex.com,www.systex.com,Viviane Tu,Project Director,(02)77201888,vivianetu@systex.com
Listed Company,6215,AUROTEK CORPORATION,－,Other Electronic,Aurotek,2007/12/31,"Cheng, Tien-Chong",Chu Chun Long,"CHU,CHUN-LONG",General Manager,DEC 31,Pricewaterhouse Coopers,Wang Sung Tse,Lin Chun Yao,"1FL.,No.60,Jhouzih St, Neihu District, Taipei Taiwan Taipei 114, Taiwan",8752-3311,8752-3347,sharehd@aurotek.com,http://www.aurotek.com.tw,"CHEN,WEN-CHIN",Financial Officer,8752-3311,sharehd@aurotek.com
Listed Company,6216,DrayTek Corporation,－,Communications and Internet,DrayTek Corp.,2004/09/27,Calvin Ma,Arthur Cheng,Alan Wen,Chief Executive Officer,DEC 31,PricewaterhouseCoopers Taiwan,Min-Juan Feng,Chien-Chih Wu,"NO.26,Fu Shin Rd.,HuKou County,Hsin-Chu Industrial Park Hsin-Chu,Taiwan R O C",03-5972727,03-5972121,ir@draytek.com,www.draytek.com,Alan Wen,Chief Executive Officer,03-5972727,ir@draytek.com
Listed Company,6224,POLYTRONICS TECHNOLOGY CORP.,－,Electronic Parts/Components,PTTC.,2009/09/17,Edward Chu,Edward Chu,Dennis Ho,Vice President,DEC 31,PRICE WATERHOUSE COOPERS,"Li, Tien-Yi","Hsieh, Chih-Cheng","NO.24-1 Industry E. RD Ⅳ,Hsinchu Science Park Hsin-Chu,Taiwan,R.O.C",03-5643931,03-5644624,ir@pttc.com.tw,www.pttc.com.tw,Dennis Ho,Vice President,03-5643931,ir@pttc.com.tw
Listed Company,6225,AIPTEK International Inc.,－,Optoelectronic,AIPTEK,2004/09/27,CHENG YIU CHING,YEH LING LIEN,CHENG YIU CHING,Chairman,DEC 31,Candor Taiwan CPAs,LEE TING-YI,CHEN SIOU-LI,"9F.-1, No. 215, Sec. 2, Chang’an E. Rd., Songshan Dist. Taipei City 10552, Taiwan",02-27771215,02-27771161,contact1@aiptek.com.tw,www.aiptek.com.tw,Bennie,manager,02-27771215,benniechen@aiptek.com.tw
Listed Company,6226,"Para Light Electronics Co., Ltd.",－,Optoelectronic,Para Light,2008/11/10,Ma Ching-Peng,Ma Ching-Peng,"MA,MING-CHUN",Vice President,DEC 31,KPMG Certified Public Accountants,Charming Mei,Allen Kuo,"11F., No.8, Jiankang Rd Zhonghe Dist., New Taipei City 235,R.O.C",02-22253733,02-22254800,para@para.com.tw,https://www.para.com.tw,"MA,MING-CHUN",Vice President,02-22253733,josephine.ma@para.com.tw
Listed Company,6230,NIDEC CHAUN-CHOUNG TECHNOLOGY CORPORATION,－,Computer and Peripheral Equipment,NCCI,2010/09/16,Miyoshi Akihiro,,Sumikawa Yohei,CFO,DEC 31,KPMG,"Ko, Hui Chih",Winston Yu,"No. 184-3, Zhongxing N. St., Sanchong Dist., New Taipei City 241, Taiwan (R.O.C.)",02-29952666,02-29958258,miss_lin@ccic.com.tw,www.ccic.com.tw,Sumikawa Yohei,CFO,02-29952666#1671,sumikawa.yohei@nidec.com
